#,Seq.,Album,Song,Spotify total,Spotify daily,AOD total
32,246,Features,Yam,"49,139,528","17,205","91,144,537"
36,139,2 Alivë,Still countin,"42,783,825","16,537","79,355,909"
37,14,Up 2 Më,Rokstar,"41,985,110","16,492","77,874,443"
76,201,2093,Lyfestylë (with Lil Wayne),"17,188,831","16,076","31,882,032"
86,206,2093,Power Trip,"15,512,893","15,872","28,773,484"
95,197,2093,Familia,"13,547,932","15,690","25,128,853"
44,10,Up 2 Më,Lying 4 fun,"34,388,179","15,040","63,783,572"
43,6,Up 2 Më,Got rich,"35,076,349","14,965","65,059,997"
56,247,Features,Fuk Tha Clout (feat. Yeat),"26,762,438","14,671","50,571,560"
61,160,Lyfë,Up off X,"24,324,731","14,570","45,117,778"
73,124,2 Alivë,Gëek high (feat. Ken Carson),"18,704,426","14,411","34,693,175"
94,188,King tonka,King tonka,"13,564,061","14,241","25,158,769"
49,144,2 Alivë,Hatër,"30,491,168","14,174","56,555,353"
78,194,2093,As We Speak (feat. Drake),"17,075,479","14,025","31,671,786"
58,131,2 Alivë,Nvr again,"26,539,708","13,648","49,226,142"
72,179,AftërLyfe,Shhhh,"19,051,459","13,556","35,336,855"
55,244,Features,5 2 Üh 60 (feat. Yeat),"27,083,433","13,541","50,234,649"
66,9,Up 2 Më,Kant changë,"21,483,980","13,460","39,848,722"
51,161,Lyfë,Wat it feel lykë,"30,199,446","13,309","56,014,264"
57,136,2 Alivë,Rollin,"26,740,725","12,937","49,598,990"
64,100,Alivë,Diëd B4,"23,947,905","12,931","44,418,837"
46,90,Trëndi,Fukit,"33,776,077","12,561","62,648,239"
35,143,2 Alivë,Dub,"44,167,020","12,342","81,921,474"
40,3,Up 2 Më,Cmon,"37,347,169","12,329","69,271,939"
146,298,Features,Cruisin' (feat. Yeat),"7,745,533","12,258","15,269,497"
103,195,2093,Bought The Earth,"12,452,380","11,649","23,096,811"
62,133,2 Alivë,Outsidë (feat. Young Thug),"24,111,560","11,187","44,722,386"
85,184,AftërLyfe,Type monëy,"15,552,524","11,180","28,846,992"
117,210,2093,Run Thëy Mouth,"10,655,272","10,937","19,763,515"
138,192,2093,1093,"8,730,191","10,756","16,192,854"
119,204,2093,Never quit,"10,444,665","10,636","19,372,879"
59,145,2 Alivë,Kant rëlax,"26,427,176","10,047","49,017,416"
68,140,2 Alivë,Taliban,"20,476,542","9,950","37,980,115"
65,137,2 Alivë,Rëal six,"22,192,866","9,673","41,163,571"
